Index," ""Name"""," ""TermBegin"""," ""TermEnd"""
1," ""George Washington""","   ""30 April 1789""","     ""4 March 1997"""
2," ""John Adams""","       ""4 March 1797""","      ""4 March 1801"""
3," ""Thomas Jefferson""","       ""4 March 1801""","      ""4 March 1809"""
4," ""James Madison""","      ""4 March 1809""","      ""4 March 1817"""
5," ""James Monroe""","       ""4 March 1817""","      ""4 March 1825"""
6," ""John Quincy Adams""","  ""4 March 1825""","      ""4 March 1829"""
7," ""Andrew Jackson""","       ""4 March 1829""","      ""4 March 1837"""
8," ""Martin Van Buren""","      ""4 March 1837""","      ""4 March 1841"""
9," ""William Henry Harrison""","      ""4 March 1841""","      ""4 April 1841"""
10," ""John Tyler""","   ""4 April 1841""","      ""4 March 1845"""
11," ""James K Polk""","      ""4 March 1845""","      ""4 March 1849"""
12," ""Zachary Taylor""","       ""4 March 1849""","      ""9 July 1850"""
13," ""Millard Fillmore""","        ""9 July 1850""","       ""4 March 1853"""
14," ""Franklin Pierce""","    ""4 March 1853""","      ""4 March 1857"""
15," ""James Buchanan""","       ""4 March 1857""","      ""4 March 1861"""
16," ""Abraham Lincoln""","     ""4 March 1861""","      ""15 April 1865"""
17," ""Andrew Johnson""","      ""15 April 1865""","     ""4 March 1869"""
18," ""Ulysses S. Grant""","      ""4 March 1869""","      ""4 March 1877"""
19," ""Rutherford B. Hayes""","   ""4 March 1877""","      ""4 March 1881"""
20," ""James A. Garfield"""," ""4 March 1881""","      ""19 September 1881"""
21," ""Chester Alan Arthur""","  ""19 September 1881"""," ""4 March 1885"""
22," ""Grover Cleveland""","      ""4 March 1885""","      ""4 March 1889"""
23," ""Benjamin Harrison""","     ""4 March 1889""","      ""4 March 1893"""
24," ""Grover Cleveland""","      ""4 March 1893""","      ""4 March 1897"""
25," ""William McKinley"""," ""4 March 1897""","      ""14 September 1901"""
26," ""Theodore Roosevelt""","    ""14 September 1901"""," ""4 March 1909"""
27," ""William Howard Taft""","      ""4 March 1909""","      ""4 March 1913"""
28," ""Woodrow Wilson""","   ""4 March 1913""","      ""4 March 1921"""
29," ""Warren G. Harding""","     ""4 March 1921""","      ""2 August 1923"""
30," ""Calvin Coolidge""","    ""2 August 1923""","     ""4 March 1929"""
31," ""Herbert Hoover""","   ""4 March 1929""","      ""4 March 1933"""
32," ""Franklin Delano Roosevelt""","     ""4 March 1933""","      ""12 April 1945"""
33," ""Harry S. Truman""","  ""12 April 1945""","     ""20 January 1953"""
34," ""Dwight David Eisenhower""","     ""20 January 1953""","   ""20 January 1961"""
35," ""John Fitzgerald Kennedy""","  ""20 January 1961""","   ""22 November 1963"""
36," ""Lyndon Baines Johnson""","   ""22 November 1963""","  ""20 January 1969"""
37," ""Richard Milhous Nixon""","     ""20 January 1969""","   ""9 August 1974"""
38," ""Gerald Rudolph Ford""","  ""9 August 1974""","     ""20 January 1977"""
39," ""James Earl Carter""","           ""20 January 1977""","   ""20 January 1981"""
40," ""Ronald Wilson Reagan""","       ""20 January 1981""","   ""20 January 1989"""
41," ""George Herbert Walker Bush""","           ""20 January 1989""","   ""20 January 1993"""
42," ""William Jefferson Clinton""","           ""20 January 1993""","   ""20 January 2001"""
43," ""George Walker Bush""","           ""20 January 2001""","   ""20 January 2009"""
44," ""Barack Obama""","           ""20 January 2009""","   ""20 January 2017"""
45," ""Donald Trump""","           ""20 January 2017""","   ""20 January 2021"""
